italian_word;difficulty_score;total_attempts;correct_answers;wrong_answers;wrong_rate_percent;first_try_accuracy_percent;repeated_attempts;sessions_seen;different_days_seen;spelling_error_count;confusion_count;wrong_word_form_count;no_recall_count;unknown_semantic_error_count;recommended_study
İl più;36.11;15;6;9;60.0;33.33;9;3;2;8;0;0;0;1;Yazım ve harf dizilimi çalışması
Rimanere;32.5;8;4;4;50.0;25.0;4;2;2;3;0;0;0;1;Yazım ve harf dizilimi çalışması
Camminare;30.0;5;4;1;20.0;75.0;1;2;1;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Non riesco;25.83;12;10;2;16.67;80.0;2;5;1;0;0;0;1;1;Öncelikli aktif hatırlama tekrarı
Giorno;25.56;9;8;1;11.11;87.5;1;4;4;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Lavorare;25.56;9;8;1;11.11;87.5;1;4;3;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Aspetto;25.0;10;6;4;40.0;50.0;4;3;2;4;0;0;0;0;Yazım ve harf dizilimi çalışması
Cambiare;24.55;11;10;1;9.09;90.0;1;5;5;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Fa caldo;24.55;11;10;1;9.09;90.0;1;5;3;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Facile;24.55;11;10;1;9.09;90.0;1;5;5;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Mano;24.55;11;10;1;9.09;90.0;1;5;3;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Qualcosa;24.55;11;10;1;9.09;90.0;1;5;5;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Quanto;24.55;11;10;1;9.09;90.0;1;5;1;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Sabato;24.55;11;10;1;9.09;90.0;1;5;3;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Sperare;24.55;11;10;1;9.09;90.0;1;5;1;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Trovare;24.55;11;10;1;9.09;90.0;1;5;4;0;0;0;1;0;Öncelikli aktif hatırlama tekrarı
Mezzo di trasporto;23.33;15;10;5;33.33;63.64;4;6;5;4;0;0;0;1;Yazım ve harf dizilimi çalışması
Semplice;23.33;12;10;2;16.67;80.0;2;5;1;0;0;0;0;2;Anlamı ve örnek cümleyi yeniden çalış
Sensazione;23.33;12;10;2;16.67;80.0;2;5;1;0;0;0;0;2;Anlamı ve örnek cümleyi yeniden çalış
Allo stesso tempo;22.5;10;8;2;20.0;87.5;2;4;3;1;0;0;1;0;Öncelikli aktif hatırlama tekrarı
