session_id;date;started_at;ended_at;duration_seconds;duration_minutes;total_unique_words;total_language_tasks;total_attempts;correct_answers;wrong_answers;accuracy_percent;first_try_correct_tasks;first_try_accuracy_percent;average_attempts_per_task;words_with_mistakes;spelling_errors;confusion_errors;wrong_word_form_errors;no_recall_errors;unknown_semantic_errors;accuracy_change_vs_previous;first_try_change_vs_previous;accuracy_3_session_average;cumulative_unique_words_seen
20260720_140226;2026-07-20;2026-07-20T14:02:26;2026-07-20T14:04:11;105;1.75;38;76;5;4;1;80.0;4;5.26;0.066;1;0;0;0;0;1;;;80.0;5
20260720_140727;2026-07-20;2026-07-20T14:07:27;2026-07-20T14:28:10;1243;20.72;57;114;129;114;15;88.37;101;88.6;1.132;11;11;1;1;2;0;8.37;83.34;84.18;57
20260720_142921;2026-07-20;2026-07-20T14:29:21;2026-07-20T14:31:18;117;1.95;11;22;22;22;0;100.0;22;100.0;1.0;0;0;0;0;0;0;11.63;11.4;89.46;57
20260721_050552;2026-07-21;2026-07-21T05:05:52;2026-07-21T05:19:10;798;13.3;57;114;119;114;5;95.8;110;96.49;1.044;3;5;0;0;0;0;-4.2;-3.51;94.72;57
20260722_023818;2026-07-22;2026-07-22T02:38:18;2026-07-22T02:49:40;682;11.37;57;114;117;114;3;97.44;111;97.37;1.026;3;1;1;0;0;1;1.64;0.88;97.75;57
20260722_050644;2026-07-22;2026-07-22T05:06:44;2026-07-22T05:11:40;296;4.93;21;42;48;42;6;87.5;37;88.1;1.143;5;2;1;0;2;1;-9.94;-9.27;93.58;77
20260722_053217;2026-07-22;2026-07-22T05:32:17;2026-07-22T05:33:30;73;1.22;4;8;10;8;2;80.0;6;75.0;1.25;2;1;1;0;0;0;-7.5;-13.1;88.31;77
20260722_055234;2026-07-22;2026-07-22T05:52:34;2026-07-22T05:53:00;25;0.42;3;6;7;6;1;85.71;5;83.33;1.167;1;1;0;0;0;0;5.71;8.33;84.4;77
20260722_171233;2026-07-22;2026-07-22T17:12:33;2026-07-22T17:19:42;428;7.13;20;40;50;40;10;80.0;35;87.5;1.25;4;8;0;0;1;1;-5.71;4.17;81.9;77
20260726_090722;2026-07-26;2026-07-26T09:07:22;2026-07-26T09:20:51;809;13.48;20;40;42;40;2;95.24;38;95.0;1.05;2;1;0;0;0;1;15.24;7.5;86.98;77
20260726_110243;2026-07-26;2026-07-26T11:02:43;2026-07-26T11:07:05;262;4.37;18;36;45;36;9;80.0;29;80.56;1.25;6;7;0;0;0;2;-15.24;-14.44;85.08;95
20260727_101219;2026-07-27;2026-07-27T10:12:19;2026-07-27T10:15:45;205;3.42;18;36;39;36;3;92.31;33;91.67;1.083;3;2;0;0;0;1;12.31;11.11;89.18;95
20260727_170143;2026-07-27;2026-07-27T17:01:43;2026-07-27T17:07:05;321;5.35;18;36;36;36;0;100.0;36;100.0;1.0;0;0;0;0;0;0;7.69;8.33;90.77;95
20260727_170723;2026-07-27;2026-07-27T17:07:23;2026-07-27T17:10:49;206;3.43;19;38;38;38;0;100.0;38;100.0;1.0;0;0;0;0;0;0;0.0;0.0;97.44;96
