İtalyanca Kelime;İngilizcesi;Türkçesi;İtalyanca Anlamı;İtalyanca Cümle -1;Cümle -1 Anlam;İtalyanca Cümle -2;Cümle -2 Anlam
Ciao;Hi;Merhaba;Di saluto più comune e diffusa nella lingua italiana;Ciao, fai buon viaggio ;Goodbye, have a good trip;;
Ieri;Yesterday;Dün;Il giorno precedente rispetto a quello in cui siamo;Ieri e stata una bella giornata;Yesterday was a beautiful day;;
Domani;Tomorrow;Yarın;Il giorno seguente;Ti passo a prendere domani alle 19.00;I’ll come to you tomorrow at 19.00;;
A Domani;See you tomorrow;Yarın Görüşürüz;Saluto usato quando ci si rivede il giorno dopo;E stato bello vederti. A domani!;It was nice to see you, see you tomorrow;;
Oggi;Today;Bugün;Il giorno corrente o il tempo presente;Lo faro entro oggi;I will do it by the end of the day;;
Giorno;Day;Gün;Periodo di ventiquattro ore;Studio italiano ogni giorno;I study Italian every day;;
Mese;Month;Ay;Periodo di tempo formato da circa trenta giorni;Questo mese studio molto italiano;This month I study a lot of Italian;;
Anno;Year;Yıl;Periodo di tempo formato da dodici mesi;Quest’anno voglio andare in Italia ;This year I want to go to Italy;;
Tempo;Time;Zaman;La durata durante la quale accadono eventi o si svolgono attività;Non ho molto tempo per studiare oggi;I don’t have much time to study today;;
Due anni fa;Two years ago;İki yıl önce;Per indicare un momento nel passato, due anni prima di adesso;Ho iniziato a studiare italiano due anni fa;I started studying Italian two years ago;;
Tra/Fra due anni;In two years;İki yıl sonra;Per indicare un momento futuro, due anni dopo il momento presente;Tra due anni voglio vivere in Italia;In two years I want to live in Italy;Il corso inizierà tra una settimana;The course starts in a week
Prima;Before/Earlier;Önce/Daha önce ;Indica un momento precedente rispetto a un altro momento o evento;Prima di dormire, studio italiano;Before sleeping, I study Italian;Prima di cena;Before dinner
Dopo;After/Later;Sonra;Indica un momento successivo rispetto a un altro momento o evento;Dopo il lavoro, torno a casa;After work, ı return home;Due giorni dopo;Two days later
Settimana;Week ;Hafta;Periodo di tempo formato da sette giorni ;Questa settimana studio italiano ogni girono;This week I study Italian every day;;
Fine Settimana;Weekend;Hafta sonu ;Gli ultimi giorni della settimana, generalmente sabato e domenica;Questo fine settimana voglio viaggiare con la mia ragazza;This weekend, ı want to travel with my girlfriend;Il prossimo fine settimana;Next week
Adesso ;Now;Şimdi;In questo momento, nel momento presente;Adesso non posso parlare;I cannot talk now;;
Iniziare;To start/to begin;Başlamak;Cominciare a fare qualcosa o dare inizio a un’attività;Voglio iniziare a studiare italiano oggi;I wanto to start studying italian today;Iniziare a lavorare;To start working
Essere;To be ;Olmak ;Avere una certa identità, qualità o condizione;Sono uno studente;I am a student;;
