İtalyanca Kelime;İngilizcesi;Türkçesi;İtalyanca Anlamı;İtalyanca Cümle -1;Cümle -1 Anlam;İtalyanca Cümle -2;Cümle -2 Anlam;Türkçe Yanlış Sayısı;İngilizce Yanlış Sayısı;Toplam Yanlış Sayısı;Oturum Sonunda Tamamlandı
Assenza;Absence;Yokluk / Bulunmama;La condizione di una persona o di una cosa che non e presente;Durante la mia assenza, nessuno ha chiamato;During my absence, nobody called;;;1;0;1;True
Azione;Action;Aksiyon;La capacita umana volta a modificare il reale a fini economici, politici, etici;Ti piacciono i film d’azione;Do you like action movies;Meno parole e piu’ azione;Less talk and more action;1;0;1;True
Ciao;hi;Merhaba;;;;;;1;0;1;True
Giorno;Day;Gün;Periodo di ventiquattro ore;Studio italiano ogni giorno;I study Italian every day;;;0;1;1;True
Indicare;To indicate / To point out;Göstermek / Belirtmek;Mostrare, segnalare o comunicare qualcosa in modo chiaro;Puoi indicarmi la strada per la stazione;Can you show me the way to the station;;;1;0;1;True
Mezzo di trasporto;Transportation;Ulaşım Aracı;Transferimento di cose o persone da un posto a un altro effettuato in vari modi e con vari mezzi;Il treno e’ il mio mezzo di trasporto preferito;Train is my favorite transportation vehicle;;;2;1;3;True
Potere;Can/ to be able to;Yapabilmek;Avere la possibilita o la capacita di fare qualcosa;Posso parlare un podi italiano;I can speak a little italian;;;0;1;1;True
Presente;Present / Current;Mevcut / Şimdiki / Hazır bulunan;Che si trova in un luogo o che esiste nel momento attuale;Oggi tutti gli studenti sono presenti;Today all the students are present;;;1;0;1;True
Sbagliato;Wrong/Incorrect;Yanlış / Hatalı;Che non e’ corretto o che contiene un errore;Ho scritto il numero sbagliato;I wrote the wrong number;;;2;1;3;True
Trovare;To find;Bulmak;Scoprire o incontrare una persona o una cosa che si stava cercando;Non riesco a trovare le mie chiavi;I can’t find my keys;;;0;1;1;True
Volere;To want;İstemek;Desiderare qualcosa o desiderare fare qualcosa;Voglio imparare l’italiano;I want to learn italian;;;1;0;1;True
